"Qty";"Value";"Device";"Package";"Parts";"Description";"COL";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"POPULARITY";"TYPE";"VAL";"VALUE";
"2";"";"DIP-TOGGLE-SWITCH-2CH-(2X3P-2.54)";"SW6-2.54-9.0X3.5X3.2+2.0MM";"SW1, SW2";"311010004";"";"";"";"";"";"";"";"MS-22D18 G2 ROHS";"";"spdt";"";"";
"2";"";"SMD-SWITCH-TACTILE-SPST-NO(4P-D6.0MM)";"SW4-SMD-6.0X6.0X5.0MM";"K1, K2";"311020004";"";"";"";"";"";"";"";"DTSM-62K-S-V-T/R(SN431)";"";"spst";"";"";
"2";"100R";"DIP-RES-100R-5%-1/4W(PR-D2.3XL6.5MM)";"PR-D2.3XL6.5MM";"R7, R8";"301020017";"";"";"";"";"";"";"";"FHCFR-1/4W-101J";"";"";"";"100R";
"10";"100nf";"CERAMIC-100NF-25V-10%-X7R(0402)";"C0402";"C1, C2, C4, C5, C6, C7, C9, C10, C11, C27";"302010024";"";"";"";"";"";"";"";"CC0402KRX7R8BB104";"";"";"";"100nf";
"1";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C26";"302010138";"";"";"";"";"";"";"";"CC0603KRX7R9BB104";"";"";"";"100nf";
"2";"10K";"DIP-RES-10K-5%-1/4W(PR-D2.3XL6.5MM)";"PR-D2.3XL6.5MM";"R17, R18";"301020001";"";"";"";"";"";"";"";"FHCFR-1/4W-103J";"";"";"";"10K";
"3";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"C22, C23, C28";"302010178";"";"";"";"";"";"";"";"CC0805KKX5R8BB106";"";"";"";"10uf";
"8";"1301.9317";"1301.9317";"13019317";"B7, B8, B9, B10, B11, B12, B13, B14";"Tactile Switches SHORT TRAVEL SWITCH 6X6, 7.3MM";"";"Tactile Switches SHORT TRAVEL SWITCH 6X6, 7.3MM";"7.3mm";"SCHURTER";"1301.9317";"693-1301.9317";"https://www.mouser.co.uk/ProductDetail/Schurter/13019317?qs=tGaZrb6HVSau8MWDkwnHyw%3D%3D";"";"";"";"";"";
"2";"1K";"DIP-RES-1K-5%-1/4W(PR-D2.3XL6.5MM)";"PR-D2.3XL6.5MM";"R11, R12";"301020000";"";"";"";"";"";"";"";"FHCFR-1/4W-102J";"";"";"";"1K";
"1";"1K";"SMD-RES-1K-1%-1/8W(0805)";"R0805";"R74";"301012157";"";"";"";"";"";"";"";"RC0805JR-071KL";"";"";"";"1K";
"1";"1K";"SMD-RES-200R-1%-1/8W(0805)";"R0805";"R71";"301012159";"";"";"";"";"";"";"";"RC0805JR-071KL";"";"";"";"1K";
